,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848 W 20th Avenue,"$3,380,000",5,4,40 ft x 122 ft (4882 ft²),Built in 1993 (27 yrs old),"$9,251",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122.05,40.00 feet,R2511456,Tina Li PREC*,Luxmore Realty,65 Days on REW,"Central Location, Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Lane Access, Private Yard","Garden, In Suite Laundry, Recreation Nearby, Shopping Nearby","Dishwasher, Washer/Dryer/Fridge/Stove/Dishwasher",3,,,,,,,,,,
2181 W 22nd Avenue,"$5,680,000",6,7,50 ft x 122 ft (6100 ft²),Built in 2020 (0 yrs old),"$13,110",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,50.00 feet,R2506722,Peter Saito PREC*,Sutton Group-West Coast Realty,Vivian Li PREC*,Sutton Group-West Coast Realty,80 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,,,,
2996 W 21st Avenue,"$2,488,000",4,3,38 ft x 122 ft (4660 ft²),Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,2 Storey,122.3,38.10 feet,R2524042,Mark Wiens PREC*,RE/MAX Crest Realty,10 Days on REW,Sprinkler - Fire,"Air Conditioning, Central Location",Washer/Dryer/Fridge/Stove/Dishwasher,Central Airconditioning,1,Yes,,,,,,,
3738 Carnarvon Street,"$2,688,000",5,4,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,3 Storey w/Bsmt.,R2523926,Mark Wiens PREC*,RE/MAX Crest Realty,11 Days on REW,"Air Conditioning, Central Location, Recreation Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Central Airconditioning,1,Yes,,,,,,,,,,
4248 Quesnel Drive,"$5,380,000",4,5,50 ft x 129 ft (6469 ft²),Built in 1995 (25 yrs old),"$17,499",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,129.38,50.00 feet,R2522523,Victor Kwan PREC*,RE/MAX Select Properties,18 Days on REW,"Central Location, Drapes/window Coverings, Garage Door Opener, Security System, Vacuum - Built In",Air Conditioning,Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,,,,,
2791 Alamein Avenue,"$2,998,000",3,3,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2520279,Anderson Hsu PREC*,Faith Wilson Group,30 Days on REW,"Air Conditioning, Drapes/window Coverings, Heat Recovery Ventilator, Oven - Built In, Security System, Smoke Alarm, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, Elevator, Garden, In Suite Laundry",Yes,,,,,,,,,
2789 Alamein Avenue,"$2,199,000",2,3,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,"3 Storey,Corner Unit",Heat Recovery Ventilator,R2520264,Anderson Hsu PREC*,Faith Wilson Group,30 Days on REW,"Drapes/window Coverings, Heat Recovery Ventilator, Oven - Built In, Security System, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, Elevator, Garden, In Suite Laundry",Yes,,,,,,,,,
2833 W 18th Avenue,"$1,998,000",3,2,33 ft x 92 ft (3046 ft²),Built in 1956 (64 yrs old),"$6,474",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,92.3,33.00 feet,R2514279,Mel Schroth,Team 3000 Realty Ltd.,53 Days on REW,Central Location,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,,,,,
2969 W 22nd Avenue,"$4,350,000",5,6,42 ft x 122 ft (5124 ft²),Built in 2011 (9 yrs old),"$6,983",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,42.00 feet,R2504265,Rachel Yu PREC*,Macdonald Realty Westmar,86 Days on REW,"Air Conditioning, Garage Door Opener, Private Yard, Security System",Golf Course Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,,,,,
2557 W King Edward Avenue,"$2,598,000",4,2,51 ft x 122 ft (6220 ft²),Built in 1953 (67 yrs old),"$7,860",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,122,51.00 feet,R2502364,Sherri Xi PREC*,RE/MAX Select Properties,92 Days on REW,Central Location,Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,,,,,,
2137 W 20th Avenue,"$3,698,000",6,6,50 ft x 122 ft (6100 ft²),Built in 1992 (28 yrs old),"$11,588",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,50.00 feet,R2496211,Beibei Yang,Royal Pacific Realty Corp.,108 Days on REW,"Drapes/window Coverings, Garage Door Opener, Intercom, Lane Access, Oven - Built In, Private Yard, Security System, Sprinkler - Fire, Vacuum - Built In",Shopping Nearby,"Compactor - Garbage, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",2,,,,,,,,,,
3950 Puget Drive,"$4,650,000",5,5,115 ft x 87 ft (8358 ft²),Built in 1990 (30 yrs old),"$12,753",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,87/21/IRR,115.41 feet,R2486213,Winnie Chung PREC*,Royal Pacific Realty Corp.,135 Days on REW,"Air Conditioning, Central Location, Private Setting, Private Yard, Security System",Shopping Nearby,"Range Top, Refrigerator, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,,,,,,,
2772 W 20th Avenue,"$2,788,000",4,5,33 ft x 122 ft (4026 ft²),Built in 1995 (25 yrs old),"$8,227",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2479298,Danny Deng PREC*,Sutton Group-West Coast Realty,156 Days on REW,"Central Location, Drapes/window Coverings, Vacuum - Built In",Shopping Nearby,2,,,,,,,,,,,
3231 Vine Street,"$3,350,000",4,4,50 ft x 150 ft (7500 ft²),Built in 1989 (31 yrs old),"$9,342",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,150,50.00 feet,R2475315,Sarina Han PREC*,Luxmore Realty,166 Days on REW,1,,,,,,,,,,,,,
2796 W 21st Avenue,"$2,599,000",5,3,40 ft x 122 ft (4880 ft²),Built in 1940 (80 yrs old),"$6,726",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,40.00 feet,R2461181,Kam Garcha,Sutton Group-West Coast Realty,207 Days on REW,Lane Access,"Garden, In Suite Laundry, Shopping Nearby","Clothes Washer/Dryer, Refrigerator, Stove",1,,,,,,,,,,
405 2688 Vine Street,"$589,900",1,1,Built in 1999 (21 yrs old),"$1,568",$431,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521594,Doug Fielding PREC*,Stonehaus Realty Corp.,23 Days on REW,"Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Elevator, In Suite Laundry, Recreation Center",1,,,,,,,,,,,,
2 2375 W Broadway,"$469,000",0,1,Built in 1998 (22 yrs old),"$1,106",$205,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"1 Storey,Ground Level Unit",R2524547,David Kenny PREC*,Sutton Group-West Coast Realty,5 Days on REW,"Garage Door Opener, Security System","Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, Club House, In Suite Laundry",1,,,,,,,,,,,
405 2688 Vine Street,"$589,900",1,1,Built in 1999 (21 yrs old),"$1,568",$431,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521594,Doug Fielding PREC*,Stonehaus Realty Corp.,23 Days on REW,"Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Elevator, In Suite Laundry, Recreation Center",1,,,,,,,,,,,,
1928 Stephens Street,"$2,289,000",5,3,30 ft x 100 ft (3000 ft²),Built in 1910 (110 yrs old),"$8,616",Vancouver West,Kitsilano,House,Freehold NonStrata,2 Storey w/Bsmt.,100,30.00 feet,R2521514,Clair Rockel PREC*,Macdonald Realty,24 Days on REW,Central Location,"Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,,,,,,,,,,,
310 2161 W 12th Avenue,"$849,000",2,2,Built in 1997 (23 yrs old),"$2,092",$353,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,Upper Unit,R2520310,Cheryl Nadeau,Engel & Volkers Vancouver,Tracey Blackham,Engel & Volkers Vancouver,30 Days on REW,"Drapes/window Coverings, Fireplace Insert, Garage Door Opener","Central Location, Lane Access, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Elevator, In Suite Laundry, Storage",1,,,,,,,,,
1772 W Cypress Street,"$2,280,000",3,3,Built in 2022 (-2 yrs old),$999,$571,Vancouver West,Kitsilano,Townhouse,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2519599,Ken Chong PREC*,Macdonald Realty,32 Days on REW,"Drapes/window Coverings, Garage Door Opener, Heat Recovery Ventilator, Security - Roughed In, Smoke Alarm, Sprinkler - Fire, Sprinkler - Inground","Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, In Suite Laundry, Storage",,,,,,,,,,,
503 1888 York Avenue,"$599,000",1,1,Built in 1994 (26 yrs old),"$1,636",$386,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,1 Storey,R2516833,Tony Ioannou,Dexter Realty,Kelley Lindahl,Dexter Realty,44 Days on REW,"Drapes/window Coverings, Garage Door Opener","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Elevator, In Suite Laundry, Wheelchair Access",1,,,,,,,,,
1367 Walnut Street,"$1,998,900",2,2,Built in 1980 (40 yrs old),"$4,628",$307,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey,R2516320,Andrew Lasko PREC*,Oakwyn Realty Downtown Ltd.,46 Days on REW,"Fireplace Insert, Garage Door Opener, Oven - Built In, Pantry, Smoke Alarm, Sprinkler - Fire","Central Location, Lane Access, Marina Nearby, Private Setting, Private Yard, Treed","Microwave, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher","Garden, In Suite Laundry",1,,,,,,,,,,,
2385 W 15th Avenue,"$5,568,000",6,6,50 ft x 125 ft (6250 ft²),Built in 2019 (1 yrs old),"$14,549",Vancouver West,Kitsilano,House,Freehold NonStrata,2 Storey w/Bsmt.,125,50.00 feet,R2515391,Tracy Niu PREC*,Nu Stream Realty Inc.,51 Days on REW,Air Conditioning,"Central Air Conditioning, In Suite Laundry, Sauna/steam Room",Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,,,,,
1827 W 15th Avenue,"$1,799,000",3,3,50 ft x 125 ft (6250 ft²),Built in 2021 (-1 yrs old),"$9,636",$0,Vancouver West,Kitsilano,Duplex,Freehold Strata,2 Storey,125,50.00 feet,R2514851,Rob Zwick PREC*,Stilhavn Real Estate Services,52 Days on REW,Air Conditioning,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,In Suite Laundry,Yes,,,,,,,,
705 2445 W 3rd Avenue,"$899,900",1,1,Built in 1975 (45 yrs old),"$1,902",$421,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,1 Storey,R2514541,Jay McInnes PREC*,Oakwyn Realty Downtown Ltd.,53 Days on REW,"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher","Garden, Oudoor Pool, Tennis Court(s)",,,,,,,,,,,,,,
1605 Maple Street,"$1,299,000",2,3,Built in 1951 (69 yrs old),"$3,757",$350,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey w/Bsmt.,R2512714,Kevin Skipworth,Dexter Realty,Cathie Cline,Dexter Realty,60 Days on REW,"Drapes/window Coverings, Oven - Built In","Central Location, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Range Top, Refrigerator",In Suite Laundry,1,,,,,,,,,
3115 Waterloo Street,"$2,788,888",7,3,32 ft x 112 ft (3681 ft²),"$7,728",Vancouver West,Kitsilano,House,Freehold NonStrata,2 Storey w/Bsmt.,112.03,32.85 feet,R2511441,Imran Ali PREC*,Sutton Group-West Coast Realty,65 Days on REW,1,,,,,,,,,,,,,,
3023 Maple Street,"$1,688,000",3,3,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey,R2510827,Faith Wilson,Faith Wilson Group,66 Days on REW,"Fireplace Insert, Garage Door Opener, Smoke Alarm","Central Location, Lane Access, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,In Suite Laundry,1,,,,,,,,,,,
2006 W 14th Avenue,"$1,688,000",2,3,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey w/Bsmt.,R2510798,Faith Wilson,Faith Wilson Group,66 Days on REW,"Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Smoke Alarm","Central Location, Lane Access, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,In Suite Laundry,1,,,,,,,,,,,
1421 Walnut Street,"$3,900,000",6,6,33 ft x 100 ft (3317 ft²),Built in 1912 (108 yrs old),"$8,001",Vancouver West,Kitsilano,House,Freehold NonStrata,3 Storey,100.5,33.00 feet,R2509485,Jason Lim PREC*,RE/MAX Crest Realty,Ben Thomson,RE/MAX Crest Realty,71 Days on REW,"Central Location, Smoke Alarm","Bike Room, In Suite Laundry, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,,,
3334 W 39th Avenue,"$4,398,000",5,6,50 ft x 101 ft (5075 ft²),Built in 2016 (4 yrs old),"$10,879",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,101.5,50.00 feet,R2499173,Heather Mah,Stilhavn Real Estate Services,Brandon Chow,Stilhavn Real Estate Services,100 Days on REW,"Air Conditioning, Central Location, Heat Recovery Ventilator, Jetted Bathtub, Oven - Built In, Paved Road, Private Yard, Security System, Smoke Alarm, Sprinkler - Fire, Sprinkler - Inground, Vacuum - Built In","Garden, Golf Course Nearby, Guest Suite, In Suite Laundry, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,2,Yes,,,,,,
4035 W 30th Avenue,"$4,980,000",6,4,53 ft x 130 ft (6890 ft²),Built in 1951 (69 yrs old),"$11,002",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey,130,53.00 feet,R2523730,Naomi Wang PREC*,Sutton Group-West Coast Realty,11 Days on REW,"Garden, Lane Access, Private Yard","Recreation Nearby, Shopping Nearby","In Suite Laundry, Washer/Dryer/Fridge/Stove/Dishwasher",2,,,,,,,,,,
403 3590 W 26th Avenue,"$688,000",2,1,Built in 1997 (23 yrs old),"$1,837",$299,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,"Penthouse,Upper Unit",R2522887,Henry Wu PREC*,LeHomes Realty Premier,James L Wang PREC*,LeHomes Realty Premier,17 Days on REW,"Drapes/window Coverings, Garage Door Opener, Sprinkler - Fire","Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, In Suite Laundry",1,,,,,,,,,
3267 W 21st Avenue,"$4,388,000",4,5,32 ft x 122 ft (3928 ft²),Built in 2020 (0 yrs old),"$8,096",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,32.20 feet,R2522623,Elaine Wu PREC*,LeHomes Realty Premier,18 Days on REW,"Garage Door Opener, Security System, Vacuum - Built In",Air Conditioning,"Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher",1,Yes,,,,,,,,,
305 3621 W 26th Avenue,"$899,000",2,2,Built in 1992 (28 yrs old),"$1,975",$577,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit,Upper Unit",R2517622,Nicole Cannon PREC*,Royal LePage Sussex,40 Days on REW,Garage Door Opener,"Adult Oriented, Central Location, Lane Access, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher","Bike Room, Club House, Elevator, In Suite Laundry",1,,,,,,,,,,,
3919 W King Edward Avenue,"$2,748,000",2,1,42 ft x 122 ft (5124 ft²),Built in 1938 (82 yrs old),"$8,220",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,42.00 feet,R2513897,Colette Gerber PREC*,Sutton Group-West Coast Realty,54 Days on REW,Central Location,"Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,,,,,
3965 W 32nd Avenue,"$4,380,000",6,5,49 ft x 130 ft (6435 ft²),Built in 2005 (15 yrs old),"$14,857",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,130,49.50 feet,R2510477,Elaine Wu PREC*,LeHomes Realty Premier,67 Days on REW,"Central Location, Drapes/window Coverings, Heat Recovery Ventilator, Oven - Built In, Private Yard, Security System, Treed","Recreation Nearby, Shopping Nearby, Storage","Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher",2,,,,,,,,,
3569 W King Edward Avenue,"$2,740,000",6,3,46 ft x 122 ft (5612 ft²),Built in 1930 (90 yrs old),"$8,054",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,46.00 feet,R2508311,Sean Stevens PREC*,Macdonald Realty,73 Days on REW,"Central Location, Fireplace Insert, Lane Access","In Suite Laundry, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",1,,,,,,,,,,
3336 W 35th Avenue,"$3,080,000",3,3,50 ft x 129 ft (6498 ft²),Built in 1963 (57 yrs old),"$9,500",Vancouver West,Dunbar,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,129.95,50.00 feet,R2503539,Elaine Wu PREC*,LeHomes Realty Premier,88 Days on REW,2,,,,,,,,,,,,,
3334 W 39th Avenue,"$4,398,000",5,6,50 ft x 101 ft (5075 ft²),Built in 2016 (4 yrs old),"$10,879",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,101.5,50.00 feet,R2499173,Heather Mah,Stilhavn Real Estate Services,Brandon Chow,Stilhavn Real Estate Services,100 Days on REW,"Air Conditioning, Central Location, Heat Recovery Ventilator, Jetted Bathtub, Oven - Built In, Paved Road, Private Yard, Security System, Smoke Alarm, Sprinkler - Fire, Sprinkler - Inground, Vacuum - Built In","Garden, Golf Course Nearby, Guest Suite, In Suite Laundry, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,2,Yes,,,,,,
3531 W 37th Avenue,"$3,988,000",4,2,66 ft x 141 ft (9300 ft²),Built in 1924 (96 yrs old),"$10,176",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,141,66.00 feet,R2492442,Ellen Guan PREC*,RE/MAX Crest Realty,116 Days on REW,"Central Location, Drapes/window Coverings, Fireplace Insert, Paved Road, Private Setting, Private Yard","Garden, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,,,,,
210 3639 W 16th Avenue,"$1,599,900",2,2,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,Inside Unit,R2480958,Ivy Shih PREC*,Macdonald Realty Westmar,150 Days on REW,Air Conditioning,"Central Location, Golf Course Development, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher","Bike Room, Central Airconditioning, Concierge, Elevator, Exercise Centre, In Suite Laundry",Yes,,,,,,,,,,,
3508 W 30th Avenue,"$3,500,000",4,2,5330 ft²,Built in 1940 (80 yrs old),"$8,213",Vancouver West,Dunbar,House,Freehold NonStrata,Rancher/Bungalow,0.00 feet,R2479636,Tiffany Chen PREC*,Pacific Evergreen Realty Ltd.,154 Days on REW,1,,,,,,,,,,,,,,
3479 W 19th Avenue,"$3,680,000",7,4,44 ft x 121 ft (5363 ft²),Built in 1945 (75 yrs old),"$9,714",Vancouver West,Dunbar,House,Freehold NonStrata,3 Storey,121.9,44.00 feet,R2476713,Melissa Wu PREC*,eXp Realty,163 Days on REW,"Drapes/window Coverings, Security System, Smoke Alarm, Sprinkler - Inground",Garden,"Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",1,,,,,,,,,,
3525 W 29th Avenue,"$4,688,000",5,4,50 ft x 130 ft (6500 ft²),Built in 1987 (33 yrs old),"$10,277",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey,130,50.00 feet,R2473407,Layla Yang PREC*,Dracco Pacific Realty,Frank Peng PREC*,Dracco Pacific Realty,169 Days on REW,2,,,,,,,,,,,
3635 W 20th Avenue,"$4,388,000",5,7,33 ft x 122 ft (4026 ft²),Built in 2019 (1 yrs old),"$8,293",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,33.00 feet,R2437220,Layla Yang PREC*,Dracco Pacific Realty,Frank Peng PREC*,Dracco Pacific Realty,311 Days on REW,"Central Location, Garage Door Opener, Heat Recovery Ventilator, Private Yard, Security System, Smoke Alarm, Treed","Air Conditioning, Golf Course Nearby, Recreation Nearby, Shopping Nearby","Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,,,,
3691 W 22nd Avenue,"$4,288,000",4,6,33 ft x 122 ft (4026 ft²),Built in 2020 (0 yrs old),"$9,109",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2524830,Victor Kwan PREC*,RE/MAX Select Properties,4 Days on REW,"Garage Door Opener, Security System, Vacuum - Built In","Air Conditioning, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Yes,,,,,,,,,,
102 3595 W 18th Avenue,"$1,498,000",2,3,Built in 2007 (13 yrs old),"$3,207",$0,Vancouver West,Dunbar,Townhouse,Freehold Strata,"2 Storey,Inside Unit",R2524543,Shaune Bowers,Oakwyn Realty Downtown Ltd.,5 Days on REW,"Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Shopping Nearby","Compactor - Garbage, Range Top, Washer/Dryer/Fridge/Stove/Dishwasher","Elevator, Garden, In Suite Laundry, Wheelchair Access",1,Yes,,,,,,,,,,
