address	price	Bedrooms	Bath	Lot Size	Property Age	Gross Taxes for 2020	Area	Sub-Area/Community	Property Type	Title	Style																	
3508 W 30th Avenue	"$3,500,000"	4	2	5330 ft²	Built in 1940 (80 yrs old)	"$8,213"	Vancouver West	Dunbar	House	Freehold NonStrata	Rancher/Bungalow																	
3479 W 19th Avenue	"$3,680,000"	7	4	44 ft x 121 ft (5363 ft²)	Built in 1945 (75 yrs old)	"$9,714"	Vancouver West	Dunbar	House	Freehold NonStrata	3 Storey																	
3525 W 29th Avenue	"$4,688,000"	5	4	50 ft x 130 ft (6500 ft²)	Built in 1987 (33 yrs old)	"$10,277"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey																	
3635 W 20th Avenue	"$4,388,000"	5	7	33 ft x 122 ft (4026 ft²)	Built in 2019 (1 yrs old)	"$8,293"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3691 W 22nd Avenue	"$4,288,000"	4	6	33 ft x 122 ft (4026 ft²)	Built in 2020 (0 yrs old)	"$9,109"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
102 3595 W 18th Avenue	"$1,498,000"	2	3	Built in 2007 (13 yrs old)	"$3,207"	$0	Vancouver West	Dunbar	Townhouse	Freehold Strata	"2 Storey,Inside Unit"																	
3870 W 17th Avenue	"$2,760,000"	4	2	33 ft x 125 ft (4137 ft²)	Built in 1925 (95 yrs old)	"$7,570"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey																	
4085 W 29th Avenue	"$6,980,000"	5	6	53 ft x 130 ft (6890 ft²)	Built in 2016 (4 yrs old)	"$18,069"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3415 W 24th Avenue	"$2,580,000"	6	3	33 ft x 122 ft (4026 ft²)	Built in 1941 (79 yrs old)	"$7,328"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3334 W 39th Avenue	"$4,398,000"	5	6	50 ft x 101 ft (5075 ft²)	Built in 2016 (4 yrs old)	"$10,879"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3565 W 37th Avenue	"$3,800,000"	4	3	66 ft x 140 ft (9257 ft²)	Built in 1924 (96 yrs old)	"$10,752"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
302 3595 W 18th Avenue	"$988,000"	2	2	Built in 2007 (13 yrs old)	"$2,721"	$670	Vancouver West	Dunbar	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
4063 W 36th Avenue	"$6,780,000"	6	7	52 ft x 133 ft (6922 ft²)	Built in 2019 (1 yrs old)	"$18,543"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3309 W 19th Avenue	"$9,980,000"	4	6	71 ft x 121 ft (8646 ft²)	Built in 2015 (5 yrs old)	"$30,528"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4042 W 27th Avenue	"$9,980,000"	4	5	51 ft x 129 ft (6681 ft²)	Built in 2020 (0 yrs old)	"$15,704"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3716-3718 W 16th Avenue	"$2,680,000"	4	3	33 ft x 110 ft (3630 ft²)	Built in 1928 (92 yrs old)	"$7,375"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
201 3641 W 29th Avenue	"$1,328,000"	2	2	Built in 1980 (40 yrs old)	"$2,567"	$336	Vancouver West	Dunbar	Townhouse	Freehold Strata	"End Unit,Other"																	
4063 W 30th Avenue	"$3,980,000"	4	3	53 ft x 130 ft (6890 ft²)	Built in 1951 (69 yrs old)	"$12,261"	Vancouver West	Dunbar	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
3537 W 18th Avenue	"$3,980,000"	5	5	33 ft x 111 ft (3665 ft²)	Built in 2018 (2 yrs old)	"$9,461"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3839 W 35th Avenue	"$5,380,000"	7	6	50 ft x 131 ft (6553 ft²)	Built in 2009 (11 yrs old)	"$18,802"	Vancouver West	Dunbar	House	Freehold NonStrata	Reverse 2 Storey w/Bsmt																	
4037 W 18th Avenue	"$3,560,000"	4	5	33 ft x 135 ft (4472 ft²)	Built in 2011 (9 yrs old)	"$6,854"	Vancouver West	Dunbar	House	Freehold NonStrata	Reverse 2 Storey w/Bsmt																	
3556 W 17th Avenue	"$3,538,000"	5	5	33 ft x 110 ft (3696 ft²)	Built in 2018 (2 yrs old)	"$8,878"	Vancouver West	Dunbar	House	Freehold NonStrata	Reverse 2 Storey w/Bsmt																	
206 3595 W 26th Avenue	"$989,000"	2	2	Built in 1999 (21 yrs old)	"$2,332"	Vancouver West	Dunbar	Apt/Condo	Freehold NonStrata	Upper Unit	R2500590																	
3692 W 33rd Avenue	"$5,980,000"	5	7	57 ft x 130 ft (7410 ft²)	Built in 2015 (5 yrs old)	"$21,583"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3556 W 23rd Avenue	"$3,780,000"	4	5	33 ft x 122 ft (4026 ft²)	Built in 2015 (5 yrs old)	"$10,280"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3556 W 23rd Avenue	"$3,780,000"	4	5	33 ft x 122 ft (4026 ft²)	Built in 2015 (5 yrs old)	"$10,280"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3947 W 18th Avenue	"$2,790,000"	6	2	33 ft x 130 ft (4290 ft²)	Built in 1931 (89 yrs old)	"$8,134"	$0	Vancouver West	Dunbar	House	Freehold NonStrata																	
3848 W 17th Avenue	"$3,388,000"	4	5	33 ft x 124 ft (4092 ft²)	Built in 2007 (13 yrs old)	"$9,806"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3580 W 18th Avenue	"$2,850,000"	3	3	33 ft x 122 ft (4026 ft²)	Built in 1930 (90 yrs old)	"$7,848"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4067 W 18th Avenue	"$3,590,000"	5	5	33 ft x 137 ft (4533 ft²)	Built in 2004 (16 yrs old)	"$9,871"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3334 W 39th Avenue	"$4,398,000"	5	6	50 ft x 101 ft (5075 ft²)	Built in 2016 (4 yrs old)	"$10,879"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3322 W 35th Avenue	"$3,890,000"	6	5	50 ft x 129 ft (6498 ft²)	Built in 1987 (33 yrs old)	"$10,643"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
302 6311 Cambie Street	"$998,000"	2	2	Built in 2014 (6 yrs old)	"$2,639"	$460	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Corner Unit																	
207 444 W 49th Avenue	"$1,785,000"	3	2	Built in 1980 (40 yrs old)	"$2,318"	$454	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Inside Unit																	
901 5926 Tisdall Street	"$1,148,000"	3	2	Built in 1961 (59 yrs old)	$0	$738	Vancouver West	Oakridge	Apt/Condo	Shares in Co-operative	Penthouse																	
460 W 48th Avenue	"$3,899,000"	4	2	60 ft x 122 ft (7320 ft²)	Built in 1947 (73 yrs old)	"$9,411"	Vancouver West	Oakridge	House	Freehold NonStrata	2 Storey																	
750 W 46th Avenue	"$3,880,000"	7	4	58 ft x 122 ft (7102 ft²)	Built in 1964 (56 yrs old)	"$9,828"	Vancouver West	Oakridge	House	Freehold NonStrata	2 Storey																	
302 651 W 45th Avenue	"$759,000"	1	1	Built in 1994 (26 yrs old)	"$1,929"	$350	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Upper Unit																	
309 5733 Alberta Street	"$1,199,900"	2	2	Built in 2020 (0 yrs old)	$0	$346	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Ground Level Unit																	
403 588 W 45th Avenue	"$1,098,000"	2	3	Built in 2000 (20 yrs old)	"$3,280"	$428	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Upper Unit																	
204 5770 Oak Street	"$1,090,000"	2	2	Built in 2000 (20 yrs old)	"$2,317"	$368	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Corner Unit																	
160 W 44th Avenue	"$2,888,000"	3	1	46 ft x 123 ft (5731 ft²)	Built in 1948 (72 yrs old)	"$8,401"	Vancouver West	Oakridge	House	Freehold NonStrata	2 Storey																	
6340 Ash Street	"$1,590,000"	3	4	Built in 2011 (9 yrs old)	"$4,292"	$350	Vancouver West	Oakridge	Townhouse	Freehold Strata	3 Storey																	
405 638 W 45th Avenue	"$1,128,000"	2	2	Built in 1999 (21 yrs old)	"$3,391"	$525	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Corner Unit																	
311 6198 Ash Street	"$1,099,000"	2	2	Built in 2001 (19 yrs old)	"$2,686"	$490	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	1 Storey																	
6363 Ontario Street	"$3,300,000"	6	5	49 ft x 106 ft (5247 ft²)	Built in 1996 (24 yrs old)	"$8,256"	Vancouver West	Oakridge	House	Freehold NonStrata	"2 Storey w/Bsmt.,Basement Entry"																	
Sl20 100 W 41st Avenue	"$1,599,000"	3	3	Built in 2022 (-2 yrs old)	$0	$301	Vancouver West	Oakridge	Townhouse	Freehold Strata	3 Storey																	
209 6198 Ash Street	"$739,000"	1	1	Built in 2001 (19 yrs old)	"$1,954"	$374	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	1 Storey																	
Sl11 100 W 41st Avenue	"$1,199,000"	2	2	Built in 2022 (-2 yrs old)	$0	$301	Vancouver West	Oakridge	Townhouse	Freehold Strata	3 Storey																	
401 6026 Tisdall Street	"$538,888"	2	1	Built in 1960 (60 yrs old)	$0	$455	Vancouver West	Oakridge	Apt/Condo	Shares in Co-operative	Inside Unit																	
6174 Oak Street	"$1,768,000"	3	3	Built in 2014 (6 yrs old)	"$4,359"	$367	Vancouver West	Oakridge	Townhouse	Freehold Strata	4 Level Split																	
A311 688 Fairchild Road	"$1,199,000"	3	2	Built in 1995 (25 yrs old)	"$3,358"	$619	Vancouver West	Oakridge	Apt/Condo	Freehold Strata	Other																	
6088 Oak Street	"$1,638,000"	3	4	Built in 2016 (4 yrs old)	"$4,327"	$652	Vancouver West	Oakridge	Townhouse	Freehold Strata	3 Storey w/Bsmt.																	
56 W 41st Avenue	"$2,890,000"	7	4	33 ft x 120 ft (3990 ft²)	"$7,686"	Vancouver West	Oakridge	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.	120.9																	
223 618 W 45th Avenue	"$1,210,000"	2	3	Built in 2000 (20 yrs old)	"$3,786"	$591	Vancouver West	Oakridge	Townhouse	Freehold Strata	2 Storey																	
57 W 42nd Avenue	"$2,088,000"	4	2	33 ft x 122 ft (4026 ft²)	Built in 1954 (66 yrs old)	"$6,844"	Vancouver West	Oakridge	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
460 W 45th Avenue	"$5,000,000"	11	11	52 ft x 160 ft (8321 ft²)	Built in 2012 (8 yrs old)	"$17,829"	Vancouver West	Oakridge	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6069 Fremlin Street	"$3,288,000"	4	3	62 ft x 120 ft (7500 ft²)	Built in 1961 (59 yrs old)	"$9,955"	Vancouver West	Oakridge	House	Freehold NonStrata	3 Storey																	
407 W 43rd Avenue	"$9,800,000"	4	2	55 ft x 114 ft (6270 ft²)	Built in 1949 (71 yrs old)	"$9,246"	Vancouver West	Oakridge	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
433 W 44th Avenue	"$5,990,000"	6	5	53 ft x 123 ft (0 ft²)	Built in 1994 (26 yrs old)	"$13,188"	Vancouver West	Oakridge	House	Freehold NonStrata	2 Storey w/Bsmt.																	
405 5693 Elizabeth Street	"$1,398,000"	2	2	Built in 2020 (0 yrs old)	$0	$564	Vancouver West	Cambie	Apt/Condo	Freehold Strata	1 Storey																	
203 717 W 17th Avenue	"$2,258,900"	2	2	Built in 2020 (0 yrs old)	$0	$677	Vancouver West	Cambie	Apt/Condo	Freehold Strata	1 Storey																	
978 W 16th Avenue	"$550,000"	1	1	Built in 1997 (23 yrs old)	"$1,281"	$265	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Corner Unit,End Unit"																	
5564 Elizabeth Street	"$4,500,000"	3	3	48 ft x 115 ft (5520 ft²)	Built in 1980 (40 yrs old)	"$10,078"	Vancouver West	Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5578 Elizabeth Street	"$4,500,000"	5	5	48 ft x 115 ft (5520 ft²)	Built in 2015 (5 yrs old)	"$13,845"	Vancouver West	Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
875 W 23rd Avenue	"$2,950,000"	9	6	42 ft x 122 ft (5124 ft²)	Built in 1940 (80 yrs old)	"$8,210"	Vancouver West	Cambie	House	Freehold NonStrata	Split Entry																	
173 Peveril Avenue	"$2,689,000"	4	2	40 ft x 0 ft (4728 ft²)	Built in 1942 (78 yrs old)	"$8,313"	Vancouver West	Cambie	House	Freehold NonStrata	2 Storey																	
601 4189 Cambie Street	"$1,098,000"	2	2	Built in 2018 (2 yrs old)	"$2,870"	$527	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Corner Unit,End Unit"																	
5591 Willow Street	"$1,683,000"	3	2	Built in 2007 (13 yrs old)	"$4,365"	$500	Vancouver West	Cambie	Townhouse	Freehold Strata	2 Storey w/Bsmt.																	
150 W Woodstock Avenue	"$795,000"	1	1	Built in 2020 (0 yrs old)	$0	$204	Vancouver West	Cambie	Townhouse	Freehold Strata	2 Storey																	
105 5383 Cambie Street	"$875,000"	1	1	Built in 2020 (0 yrs old)	$0	$390	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Ground Level Unit																	
311 962 W 16th Avenue	"$864,900"	1	2	Built in 1997 (23 yrs old)	"$2,021"	$442	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Loft/Warehouse Conv.,Penthouse"																	
395 W 20th Avenue	"$2,789,000"	5	3	36 ft x 138 ft (4986 ft²)	Built in 1930 (90 yrs old)	"$9,272"	Vancouver West	Cambie	House	Freehold NonStrata	3 Storey																	
650 W 27th Avenue	"$3,200,000"	6	3	56 ft x 125 ft (7063 ft²)	Built in 1949 (71 yrs old)	"$10,771"	Vancouver West	Cambie	House	Freehold NonStrata	1 Storey																	
A203 4908 Cambie Street	"$999,000"	2	2	Built in 2020 (0 yrs old)	$0	$369	Vancouver West	Cambie	Apt/Condo	Freehold Strata	1 Storey																	
5050 Cambie Street	"$1,999,900"	2	3	Built in 2020 (0 yrs old)	$0	$742	Vancouver West	Cambie	Townhouse	Freehold Strata	3 Storey																	
210 508 W 29th Avenue	"$759,000"	1	1	Built in 2015 (5 yrs old)	"$2,112"	$406	Vancouver West	Cambie	Apt/Condo	Freehold Strata	1 Storey																	
101 717 W 17 Avenue	"$1,849,900"	2	2	Built in 2020 (0 yrs old)	$0	$465	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Corner Unit																	
B101 4908 Cambie Street	"$1,699,000"	3	3	Built in 2020 (0 yrs old)	$0	$602	Vancouver West	Cambie	Townhouse	Freehold Strata	2 Storey																	
604 5383 Cambie Street	"$1,378,000"	2	2	Built in 2020 (0 yrs old)	$0	$358	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
501 5383 Cambie Street	"$1,768,000"	3	2	Built in 2020 (0 yrs old)	$0	$465	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
604 5058 Cambie Street	"$2,288,000"	3	2	Built in 2020 (0 yrs old)	$0	$444	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Penthouse																	
204 717 W 17th Avenue	"$2,498,900"	3	3	Built in 2020 (0 yrs old)	$0	$782	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Inside Unit																	
501 4488 Cambie Street	"$2,849,000"	3	4	Built in 2019 (1 yrs old)	"$6,714"	"$1,130"	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
405 633 W King Edward Avenue	"$3,099,900"	3	2	Built in 2019 (1 yrs old)	"$8,142"	$678	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
201 4988 Cambie Street	"$1,399,000"	2	2	Built in 2020 (0 yrs old)	$0	$552	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Corner Unit																	
111 5033 Cambie Street	"$799,000"	1	1	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Ground Level Unit																	
111 5033 Cambie Street	"$799,000"	1	1	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Ground Level Unit																	
404 528 W King Edward Avenue	"$1,198,000"	2	2	Built in 2020 (0 yrs old)	$0	$508	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Corner Unit																	
