address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
3950 Puget Drive,"$4,650,000",5,5,115 ft x 87 ft (8358 ft²),Built in 1990 (30 yrs old),"$12,753",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,87/21/IRR,115.41 feet,R2486213,,,,,,,,,,,,,,
2772 W 20th Avenue,"$2,788,000",4,5,33 ft x 122 ft (4026 ft²),Built in 1995 (25 yrs old),"$8,227",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2479298,,,,,,,,,,,,,,
3231 Vine Street,"$3,350,000",4,4,50 ft x 150 ft (7500 ft²),Built in 1989 (31 yrs old),"$9,342",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,150,50.00 feet,R2475315,,,,,,,,,,,,,,
2796 W 21st Avenue,"$2,599,000",5,3,40 ft x 122 ft (4880 ft²),Built in 1940 (80 yrs old),"$6,726",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,40.00 feet,R2461181,,,,,,,,,,,,,,
405 2688 Vine Street,"$589,900",1,1,Built in 1999 (21 yrs old),"$1,568",$431,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521594,Doug Fielding PREC*,Stonehaus Realty Corp.,,,,,,,,,,,,,,
2 2375 W Broadway,"$469,000",0,1,Built in 1998 (22 yrs old),"$1,106",$205,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"1 Storey,Ground Level Unit",R2524547,David Kenny PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
405 2688 Vine Street,"$589,900",1,1,Built in 1999 (21 yrs old),"$1,568",$431,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521594,Doug Fielding PREC*,Stonehaus Realty Corp.,,,,,,,,,,,,,,
1928 Stephens Street,"$2,289,000",5,3,30 ft x 100 ft (3000 ft²),Built in 1910 (110 yrs old),"$8,616",Vancouver West,Kitsilano,House,Freehold NonStrata,2 Storey w/Bsmt.,100,30.00 feet,R2521514,,,,,,,,,,,,,,
310 2161 W 12th Avenue,"$849,000",2,2,Built in 1997 (23 yrs old),"$2,092",$353,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,Upper Unit,R2520310,Cheryl Nadeau,Engel & Volkers Vancouver,,,,,,,,,,,,,,
1772 W Cypress Street,"$2,280,000",3,3,Built in 2022 (-2 yrs old),$999,$571,Vancouver West,Kitsilano,Townhouse,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2519599,Ken Chong PREC*,,,,,,,,,,,,,,
503 1888 York Avenue,"$599,000",1,1,Built in 1994 (26 yrs old),"$1,636",$386,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,1 Storey,R2516833,Tony Ioannou,Dexter Realty,,,,,,,,,,,,,,
1367 Walnut Street,"$1,998,900",2,2,Built in 1980 (40 yrs old),"$4,628",$307,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey,R2516320,Andrew Lasko PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
2385 W 15th Avenue,"$5,568,000",6,6,50 ft x 125 ft (6250 ft²),Built in 2019 (1 yrs old),"$14,549",Vancouver West,Kitsilano,House,Freehold NonStrata,2 Storey w/Bsmt.,125,50.00 feet,R2515391,,,,,,,,,,,,,,
1827 W 15th Avenue,"$1,799,000",3,3,50 ft x 125 ft (6250 ft²),Built in 2021 (-1 yrs old),"$9,636",$0,Vancouver West,Kitsilano,Duplex,Freehold Strata,2 Storey,125,50.00 feet,,,,,,,,,,,,,,
705 2445 W 3rd Avenue,"$899,900",1,1,Built in 1975 (45 yrs old),"$1,902",$421,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,1 Storey,R2514541,Jay McInnes PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
1605 Maple Street,"$1,299,000",2,3,Built in 1951 (69 yrs old),"$3,757",$350,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey w/Bsmt.,R2512714,Kevin Skipworth,Dexter Realty,,,,,,,,,,,,,,
3115 Waterloo Street,"$2,788,888",7,3,32 ft x 112 ft (3681 ft²),"$7,728",Vancouver West,Kitsilano,House,Freehold NonStrata,2 Storey w/Bsmt.,112.03,32.85 feet,R2511441,Imran Ali PREC*,,,,,,,,,,,,,,
3023 Maple Street,"$1,688,000",3,3,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey,R2510827,Faith Wilson,Faith Wilson Group,,,,,,,,,,,,,,
2006 W 14th Avenue,"$1,688,000",2,3,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Kitsilano,Townhouse,Freehold Strata,2 Storey w/Bsmt.,R2510798,Faith Wilson,Faith Wilson Group,,,,,,,,,,,,,,
1421 Walnut Street,"$3,900,000",6,6,33 ft x 100 ft (3317 ft²),Built in 1912 (108 yrs old),"$8,001",Vancouver West,Kitsilano,House,Freehold NonStrata,3 Storey,100.5,33.00 feet,R2509485,,,,,,,,,,,,,,
3334 W 39th Avenue,"$4,398,000",5,6,50 ft x 101 ft (5075 ft²),Built in 2016 (4 yrs old),"$10,879",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,101.5,50.00 feet,,,,,,,,,,,,,,
4035 W 30th Avenue,"$4,980,000",6,4,53 ft x 130 ft (6890 ft²),Built in 1951 (69 yrs old),"$11,002",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey,130,53.00 feet,R2523730,,,,,,,,,,,,,,
403 3590 W 26th Avenue,"$688,000",2,1,Built in 1997 (23 yrs old),"$1,837",$299,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,"Penthouse,Upper Unit",R2522887,Henry Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
3267 W 21st Avenue,"$4,388,000",4,5,32 ft x 122 ft (3928 ft²),Built in 2020 (0 yrs old),"$8,096",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,32.20 feet,R2522623,,,,,,,,,,,,,,
305 3621 W 26th Avenue,"$899,000",2,2,Built in 1992 (28 yrs old),"$1,975",$577,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit,Upper Unit",R2517622,Nicole Cannon PREC*,Royal LePage Sussex,,,,,,,,,,,,,,
3919 W King Edward Avenue,"$2,748,000",2,1,42 ft x 122 ft (5124 ft²),Built in 1938 (82 yrs old),"$8,220",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,42.00 feet,R2513897,,,,,,,,,,,,,,
3965 W 32nd Avenue,"$4,380,000",6,5,49 ft x 130 ft (6435 ft²),Built in 2005 (15 yrs old),"$14,857",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,130,49.50 feet,,,,,,,,,,,,,,
3569 W King Edward Avenue,"$2,740,000",6,3,46 ft x 122 ft (5612 ft²),Built in 1930 (90 yrs old),"$8,054",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,46.00 feet,R2508311,,,,,,,,,,,,,,
3336 W 35th Avenue,"$3,080,000",3,3,50 ft x 129 ft (6498 ft²),Built in 1963 (57 yrs old),"$9,500",Vancouver West,Dunbar,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,129.95,50.00 feet,R2503539,,,,,,,,,,,,,,
3334 W 39th Avenue,"$4,398,000",5,6,50 ft x 101 ft (5075 ft²),Built in 2016 (4 yrs old),"$10,879",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,101.5,50.00 feet,,,,,,,,,,,,,,
3531 W 37th Avenue,"$3,988,000",4,2,66 ft x 141 ft (9300 ft²),Built in 1924 (96 yrs old),"$10,176",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,141,66.00 feet,R2492442,,,,,,,,,,,,,,
210 3639 W 16th Avenue,"$1,599,900",2,2,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,Inside Unit,R2480958,Ivy Shih PREC*,Macdonald Realty Westmar,,,,,,,,,,,,,,
3508 W 30th Avenue,"$3,500,000",4,2,5330 ft²,Built in 1940 (80 yrs old),"$8,213",Vancouver West,Dunbar,House,Freehold NonStrata,Rancher/Bungalow,0.00 feet,R2479636,Tiffany Chen PREC*,,,,,,,,,,,,,,
3479 W 19th Avenue,"$3,680,000",7,4,44 ft x 121 ft (5363 ft²),Built in 1945 (75 yrs old),"$9,714",Vancouver West,Dunbar,House,Freehold NonStrata,3 Storey,121.9,44.00 feet,R2476713,,,,,,,,,,,,,,
3525 W 29th Avenue,"$4,688,000",5,4,50 ft x 130 ft (6500 ft²),Built in 1987 (33 yrs old),"$10,277",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey,130,50.00 feet,R2473407,,,,,,,,,,,,,,
3635 W 20th Avenue,"$4,388,000",5,7,33 ft x 122 ft (4026 ft²),Built in 2019 (1 yrs old),"$8,293",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,33.00 feet,,,,,,,,,,,,,,
3691 W 22nd Avenue,"$4,288,000",4,6,33 ft x 122 ft (4026 ft²),Built in 2020 (0 yrs old),"$9,109",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2524830,,,,,,,,,,,,,,
102 3595 W 18th Avenue,"$1,498,000",2,3,Built in 2007 (13 yrs old),"$3,207",$0,Vancouver West,Dunbar,Townhouse,Freehold Strata,"2 Storey,Inside Unit",R2524543,Shaune Bowers,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
3870 W 17th Avenue,"$2,760,000",4,2,33 ft x 125 ft (4137 ft²),Built in 1925 (95 yrs old),"$7,570",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey,125.35,33.00 feet,R2523234,,,,,,,,,,,,,,
4085 W 29th Avenue,"$6,980,000",5,6,53 ft x 130 ft (6890 ft²),Built in 2016 (4 yrs old),"$18,069",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,130,53.00 feet,R2522768,,,,,,,,,,,,,,
3415 W 24th Avenue,"$2,580,000",6,3,33 ft x 122 ft (4026 ft²),Built in 1941 (79 yrs old),"$7,328",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2520578,,,,,,,,,,,,,,
3334 W 39th Avenue,"$4,398,000",5,6,50 ft x 101 ft (5075 ft²),Built in 2016 (4 yrs old),"$10,879",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,101.5,50.00 feet,,,,,,,,,,,,,,
3565 W 37th Avenue,"$3,800,000",4,3,66 ft x 140 ft (9257 ft²),Built in 1924 (96 yrs old),"$10,752",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,140.25,66.00 feet,R2519131,,,,,,,,,,,,,,
302 3595 W 18th Avenue,"$988,000",2,2,Built in 2007 (13 yrs old),"$2,721",$670,Vancouver West,Dunbar,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2519070,Richie Huang PREC*,Macdonald Realty,,,,,,,,,,,,,,
4063 W 36th Avenue,"$6,780,000",6,7,52 ft x 133 ft (6922 ft²),Built in 2019 (1 yrs old),"$18,543",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,133.11,52.00 feet,,,,,,,,,,,,,,
3309 W 19th Avenue,"$9,980,000",4,6,71 ft x 121 ft (8646 ft²),Built in 2015 (5 yrs old),"$30,528",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,121.6,71.10 feet,R2454206,,,,,,,,,,,,,,
4042 W 27th Avenue,"$9,980,000",4,5,51 ft x 129 ft (6681 ft²),Built in 2020 (0 yrs old),"$15,704",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,129.73,51.50 feet,R2515189,,,,,,,,,,,,,,
3716-3718 W 16th Avenue,"$2,680,000",4,3,33 ft x 110 ft (3630 ft²),Built in 1928 (92 yrs old),"$7,375",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,110,33.00 feet,R2513990,,,,,,,,,,,,,,
201 3641 W 29th Avenue,"$1,328,000",2,2,Built in 1980 (40 yrs old),"$2,567",$336,Vancouver West,Dunbar,Townhouse,Freehold Strata,"End Unit,Other",R2512208,Yanni Chen,Jovi Realty Inc.,,,,,,,,,,,,,,
4063 W 30th Avenue,"$3,980,000",4,3,53 ft x 130 ft (6890 ft²),Built in 1951 (69 yrs old),"$12,261",Vancouver West,Dunbar,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,130,53.00 feet,R2511210,,,,,,,,,,,,,,
3537 W 18th Avenue,"$3,980,000",5,5,33 ft x 111 ft (3665 ft²),Built in 2018 (2 yrs old),"$9,461",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,111,33.00 feet,,,,,,,,,,,,,,
3839 W 35th Avenue,"$5,380,000",7,6,50 ft x 131 ft (6553 ft²),Built in 2009 (11 yrs old),"$18,802",Vancouver West,Dunbar,House,Freehold NonStrata,Reverse 2 Storey w/Bsmt,Heat Recovery Ventilator,131.07,50.00 feet,,,,,,,,,,,,,,
4037 W 18th Avenue,"$3,560,000",4,5,33 ft x 135 ft (4472 ft²),Built in 2011 (9 yrs old),"$6,854",Vancouver West,Dunbar,House,Freehold NonStrata,Reverse 2 Storey w/Bsmt,135.5,33.00 feet,R2506185,,,,,,,,,,,,,,
3556 W 17th Avenue,"$3,538,000",5,5,33 ft x 110 ft (3696 ft²),Built in 2018 (2 yrs old),"$8,878",Vancouver West,Dunbar,House,Freehold NonStrata,Reverse 2 Storey w/Bsmt,110,33.00 feet,R2504693,,,,,,,,,,,,,,
206 3595 W 26th Avenue,"$989,000",2,2,Built in 1999 (21 yrs old),"$2,332",Vancouver West,Dunbar,Apt/Condo,Freehold NonStrata,Upper Unit,R2500590,Phyllis Zhou,Pacific Evergreen Realty Ltd.,95 Days on REW,,,,,,,,,,,,,,
3692 W 33rd Avenue,"$5,980,000",5,7,57 ft x 130 ft (7410 ft²),Built in 2015 (5 yrs old),"$21,583",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,130,57.00 feet,R2499766,,,,,,,,,,,,,,
3556 W 23rd Avenue,"$3,780,000",4,5,33 ft x 122 ft (4026 ft²),Built in 2015 (5 yrs old),"$10,280",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2495364,,,,,,,,,,,,,,
3556 W 23rd Avenue,"$3,780,000",4,5,33 ft x 122 ft (4026 ft²),Built in 2015 (5 yrs old),"$10,280",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2495364,,,,,,,,,,,,,,
3947 W 18th Avenue,"$2,790,000",6,2,33 ft x 130 ft (4290 ft²),Built in 1931 (89 yrs old),"$8,134",$0,Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,130,33.00 feet,,,,,,,,,,,,,,
3848 W 17th Avenue,"$3,388,000",4,5,33 ft x 124 ft (4092 ft²),Built in 2007 (13 yrs old),"$9,806",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,124,33.00 feet,R2492911,,,,,,,,,,,,,,
3580 W 18th Avenue,"$2,850,000",3,3,33 ft x 122 ft (4026 ft²),Built in 1930 (90 yrs old),"$7,848",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2491858,,,,,,,,,,,,,,
4067 W 18th Avenue,"$3,590,000",5,5,33 ft x 137 ft (4533 ft²),Built in 2004 (16 yrs old),"$9,871",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,137.35,33.00 feet,,,,,,,,,,,,,,
3334 W 39th Avenue,"$4,398,000",5,6,50 ft x 101 ft (5075 ft²),Built in 2016 (4 yrs old),"$10,879",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,101.5,50.00 feet,,,,,,,,,,,,,,
3322 W 35th Avenue,"$3,890,000",6,5,50 ft x 129 ft (6498 ft²),Built in 1987 (33 yrs old),"$10,643",Vancouver West,Dunbar,House,Freehold NonStrata,2 Storey w/Bsmt.,129.5,50.00 feet,R2481668,,,,,,,,,,,,,,
302 6311 Cambie Street,"$998,000",2,2,Built in 2014 (6 yrs old),"$2,639",$460,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Corner Unit,R2521191,Henry Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
207 444 W 49th Avenue,"$1,785,000",3,2,Built in 1980 (40 yrs old),"$2,318",$454,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Inside Unit,R2510199,Stella Price PREC*,SPG Realty,,,,,,,,,,,,,,
901 5926 Tisdall Street,"$1,148,000",3,2,Built in 1961 (59 yrs old),$0,$738,Vancouver West,Oakridge,Apt/Condo,Shares in Co-operative,Penthouse,R2510482,Patrick Weeks PREC*,RE/MAX Select Properties,,,,,,,,,,,,,,
460 W 48th Avenue,"$3,899,000",4,2,60 ft x 122 ft (7320 ft²),Built in 1947 (73 yrs old),"$9,411",Vancouver West,Oakridge,House,Freehold NonStrata,2 Storey,122,60.00 feet,R2493888,,,,,,,,,,,,,,
750 W 46th Avenue,"$3,880,000",7,4,58 ft x 122 ft (7102 ft²),Built in 1964 (56 yrs old),"$9,828",Vancouver West,Oakridge,House,Freehold NonStrata,2 Storey,122.45,58.00 feet,R2336567,,,,,,,,,,,,,,
302 651 W 45th Avenue,"$759,000",1,1,Built in 1994 (26 yrs old),"$1,929",$350,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Upper Unit,R2521050,Michael K Chiang,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
309 5733 Alberta Street,"$1,199,900",2,2,Built in 2020 (0 yrs old),$0,$346,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Ground Level Unit,R2520575,Sean Lin PREC*,Magnum Projects Ltd.,,,,,,,,,,,,,,
403 588 W 45th Avenue,"$1,098,000",2,3,Built in 2000 (20 yrs old),"$3,280",$428,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Upper Unit,R2515880,Timothy Turner,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
204 5770 Oak Street,"$1,090,000",2,2,Built in 2000 (20 yrs old),"$2,317",$368,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Corner Unit,R2512617,Lucas Cui,Royal Pacific Realty (Kingsway) Ltd.,,,,,,,,,,,,,,
160 W 44th Avenue,"$2,888,000",3,1,46 ft x 123 ft (5731 ft²),Built in 1948 (72 yrs old),"$8,401",Vancouver West,Oakridge,House,Freehold NonStrata,2 Storey,123.25,46.50 feet,R2509811,,,,,,,,,,,,,,
6340 Ash Street,"$1,590,000",3,4,Built in 2011 (9 yrs old),"$4,292",$350,Vancouver West,Oakridge,Townhouse,Freehold Strata,3 Storey,R2508339,Simon Sheng PREC*,Pacific Evergreen Realty Ltd.,,,,,,,,,,,,,,
405 638 W 45th Avenue,"$1,128,000",2,2,Built in 1999 (21 yrs old),"$3,391",$525,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Corner Unit,R2505625,Emily Shen,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
311 6198 Ash Street,"$1,099,000",2,2,Built in 2001 (19 yrs old),"$2,686",$490,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,1 Storey,R2505739,Wesley Yu PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
6363 Ontario Street,"$3,300,000",6,5,49 ft x 106 ft (5247 ft²),Built in 1996 (24 yrs old),"$8,256",Vancouver West,Oakridge,House,Freehold NonStrata,"2 Storey w/Bsmt.,Basement Entry",106,49.50 feet,R2505286,,,,,,,,,,,,,,
Sl20 100 W 41st Avenue,"$1,599,000",3,3,Built in 2022 (-2 yrs old),$0,$301,Vancouver West,Oakridge,Townhouse,Freehold Strata,3 Storey,R2503523,Randy Lim,RE/MAX Select Properties,,,,,,,,,,,,,,
209 6198 Ash Street,"$739,000",1,1,Built in 2001 (19 yrs old),"$1,954",$374,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,1 Storey,R2500629,Jeanne Yu,Nu Stream Realty Inc.,,,,,,,,,,,,,,
Sl11 100 W 41st Avenue,"$1,199,000",2,2,Built in 2022 (-2 yrs old),$0,$301,Vancouver West,Oakridge,Townhouse,Freehold Strata,3 Storey,R2500552,Randy Lim,RE/MAX Select Properties,,,,,,,,,,,,,,
401 6026 Tisdall Street,"$538,888",2,1,Built in 1960 (60 yrs old),$0,$455,Vancouver West,Oakridge,Apt/Condo,Shares in Co-operative,Inside Unit,R2496115,Noella Neale,RE/MAX All Points Realty,,,,,,,,,,,,,,
6174 Oak Street,"$1,768,000",3,3,Built in 2014 (6 yrs old),"$4,359",$367,Vancouver West,Oakridge,Townhouse,Freehold Strata,4 Level Split,R2486796,Krystal Ho PREC*,RE/MAX Select Properties,,,,,,,,,,,,,,
A311 688 Fairchild Road,"$1,199,000",3,2,Built in 1995 (25 yrs old),"$3,358",$619,Vancouver West,Oakridge,Apt/Condo,Freehold Strata,Other,R2484226,Silas Ng (Wah-Hoi),Royal Pacific Realty Corp.,,,,,,,,,,,,,,
6088 Oak Street,"$1,638,000",3,4,Built in 2016 (4 yrs old),"$4,327",$652,Vancouver West,Oakridge,Townhouse,Freehold Strata,3 Storey w/Bsmt.,R2482765,Sherman Lee,Macdonald Realty Westmar,,,,,,,,,,,,,,
56 W 41st Avenue,"$2,890,000",7,4,33 ft x 120 ft (3990 ft²),"$7,686",Vancouver West,Oakridge,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,120.9,33.00 feet,R2479254,Juvy Gogoescu,,,,,,,,,,,,,,
